task1,task2,repmatch
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,0.020566557922090094
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,0.021953782299533486
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,0.03024480464713027
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,0.10020347777754068
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-amazon_polarity_user_satisfied,0.06361825787462294
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,0.04205339316589137
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-cos_e_v1.11_rationale,0.01741228116831432
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-cos_e_v1.11_i_think,0.016966554181029398
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-adversarial_qa_dbert_generate_question,0.016895299854998786
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-amazon_polarity_would_you_buy,0.07725068313690524
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-cos_e_v1.11_question_option_description_text,0.04126165031145016
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-adversarial_qa_droberta_question_context_answer,0.02842441841494292
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-cos_e_v1.11_question_option_description_id,0.10497546351204316
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-dream_generate_first_utterance,0.01982891419902444
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-adversarial_qa_dbert_question_context_answer,0.02320152148604393
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-adversarial_qa_droberta_tell_what_it_is,0.026366483924599986
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-amazon_polarity_convey_negative_or_positive_sentiment,0.09980504556248586
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-app_reviews_convert_to_rating,0.055756075928608574
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-adversarial_qa_droberta_answer_the_following_q,0.027715496951714158
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-dbpedia_14_given_a_list_of_category_what_does_the_title_belong_to,0.04416638348872463
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-app_reviews_categorize_rating_using_review,0.10669606737792492
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-dbpedia_14_given_a_choice_of_categories_,0.05244309641420841
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-adversarial_qa_droberta_generate_question,0.022161305338765185
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-adversarial_qa_dbidaf_question_context_answer,0.026539164828136563
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-dbpedia_14_given_list_what_category_does_the_paragraph_belong_to,0.05790577013976872
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-cos_e_v1.11_description_question_option_text,0.038687350771700345
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-dream_generate_last_utterance,0.02730914919326703
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-adversarial_qa_dbidaf_based_on,0.027735754381865263
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-app_reviews_generate_review,0.01408694009296596
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-amazon_polarity_Is_this_review_negative,0.3276496920734644
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-dream_baseline,0.06453390466049314
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-adversarial_qa_droberta_based_on,0.027826203654209774
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-dbpedia_14_pick_one_category_for_the_following_text,0.05597395674946407
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-adversarial_qa_dbidaf_answer_the_following_q,0.023526387599607308
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-cos_e_v1.11_description_question_option_id,0.1018200231095155
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-cos_e_v1.11_explain_why_human,0.018308805224175256
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-cos_e_v1.11_generate_explanation_given_text,0.01720003744897743
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_id,0.09001078177243471
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-dream_read_the_following_conversation_and_answer_the_question,0.06254758220165968
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-adversarial_qa_dbert_tell_what_it_is,0.02636408091833194
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-amazon_polarity_User_recommend_this_product,0.500379835565885
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-amazon_polarity_Is_this_review,0.09462819900363684
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-dream_answer_to_dialogue,0.02102500052812199
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-adversarial_qa_dbidaf_tell_what_it_is,0.028551464279492695
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-app_reviews_convert_to_star_rating,0.04974968094999591
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-cos_e_v1.11_aligned_with_common_sense,0.019436743188028533
models/result_gpt2_t0-task-amazon_polarity_Is_this_product_review_positive,models/result_gpt2_t0-task-amazon_polarity_flattering_or_not,0.052124987511585154
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,0.041732940124347806
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,0.06030287981654207
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,0.019801478600129485
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-amazon_polarity_user_satisfied,0.024959504487924278
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,0.03825351634683708
